Local time,Open,High,Low,Close
11.02.2021 05:00:00.000 GMT+0700,1842.848,1847.402,1821.007,1825.245
12.02.2021 05:00:00.000 GMT+0700,1824.379,1830.615,1810.395,1823.648
13.02.2021 05:00:00.000 GMT+0700,1823.648,1823.648,1823.648,1823.648
14.02.2021 05:00:00.000 GMT+0700,1823.648,1823.648,1823.648,1823.648
15.02.2021 05:00:00.000 GMT+0700,1825.118,1826.915,1815.865,1818.438
16.02.2021 05:00:00.000 GMT+0700,1818.918,1826.375,1789.385,1794.245
17.02.2021 05:00:00.000 GMT+0700,1793.83,1795.015,1769.418,1775.785
18.02.2021 05:00:00.000 GMT+0700,1775.958,1789.465,1768.305,1775.098
19.02.2021 05:00:00.000 GMT+0700,1775.588,1791.405,1760.44,1783.398
20.02.2021 05:00:00.000 GMT+0700,1783.398,1783.398,1783.398,1783.398
21.02.2021 05:00:00.000 GMT+0700,1783.398,1783.398,1783.398,1783.398
22.02.2021 05:00:00.000 GMT+0700,1781.546,1812.535,1780.545,1808.898
23.02.2021 05:00:00.000 GMT+0700,1809.198,1815.875,1795.425,1805.435
24.02.2021 05:00:00.000 GMT+0700,1804.62,1813.745,1783.445,1803.895
25.02.2021 05:00:00.000 GMT+0700,1804.897,1805.307,1765.328,1770.015
26.02.2021 05:00:00.000 GMT+0700,1770.125,1775.605,1717.09,1733.188
27.02.2021 05:00:00.000 GMT+0700,1733.188,1733.188,1733.188,1733.188
28.02.2021 05:00:00.000 GMT+0700,1733.188,1733.188,1733.188,1733.188
01.03.2021 05:00:00.000 GMT+0700,1732.746,1759.715,1719.525,1724.615
02.03.2021 05:00:00.000 GMT+0700,1724.165,1738.98,1707.066,1737.865
03.03.2021 05:00:00.000 GMT+0700,1737.353,1740.446,1701.797,1710.845
04.03.2021 05:00:00.000 GMT+0700,1710.134,1723.104,1690.258,1697.138
05.03.2021 05:00:00.000 GMT+0700,1697.658,1707.669,1687.138,1699.398
06.03.2021 05:00:00.000 GMT+0700,1699.398,1699.398,1699.398,1699.398
07.03.2021 05:00:00.000 GMT+0700,1699.398,1699.398,1699.398,1699.398
08.03.2021 05:00:00.000 GMT+0700,1701.718,1714.168,1676.696,1683.288
09.03.2021 05:00:00.000 GMT+0700,1683.443,1720.469,1680.014,1715.688
10.03.2021 05:00:00.000 GMT+0700,1714.948,1726.704,1708.141,1726.408
11.03.2021 05:00:00.000 GMT+0700,1726.041,1739.735,1719.115,1722.188
12.03.2021 05:00:00.000 GMT+0700,1721.798,1729.158,1699.078,1726.958
13.03.2021 05:00:00.000 GMT+0700,1726.958,1726.958,1726.958,1726.958
14.03.2021 05:00:00.000 GMT+0700,1726.958,1726.958,1726.958,1726.958
15.03.2021 04:00:00.000 GMT+0700,1727.188,1734.418,1721.554,1731.465
16.03.2021 04:00:00.000 GMT+0700,1731.074,1741.147,1726.114,1730.668
17.03.2021 04:00:00.000 GMT+0700,1731.358,1751.498,1724.018,1744.798
18.03.2021 04:00:00.000 GMT+0700,1744.804,1755.408,1719.115,1736.375
19.03.2021 04:00:00.000 GMT+0700,1735.639,1746.538,1728.391,1744.858
20.03.2021 04:00:00.000 GMT+0700,1744.858,1744.858,1744.858,1744.858
21.03.2021 04:00:00.000 GMT+0700,1744.858,1744.858,1744.858,1744.858
22.03.2021 04:00:00.000 GMT+0700,1746.009,1746.928,1727.238,1738.648
23.03.2021 04:00:00.000 GMT+0700,1738.466,1742.378,1724.578,1726.588
24.03.2021 04:00:00.000 GMT+0700,1726.428,1738.318,1723.624,1734.068
25.03.2021 04:00:00.000 GMT+0700,1733.884,1745.388,1721.589,1726.618
26.03.2021 04:00:00.000 GMT+0700,1726.099,1736.648,1721.498,1731.808
27.03.2021 04:00:00.000 GMT+0700,1731.808,1731.808,1731.808,1731.808
28.03.2021 04:00:00.000 GMT+0700,1731.808,1731.808,1731.808,1731.808
29.03.2021 04:00:00.000 GMT+0700,1731.268,1732.988,1705.668,1712.028
30.03.2021 04:00:00.000 GMT+0700,1711.498,1714.318,1678.6,1684.668
31.03.2021 04:00:00.000 GMT+0700,1684.668,1715.258,1677.788,1707.218
01.04.2021 04:00:00.000 GMT+0700,1707.658,1730.465,1705.638,1728.805
02.04.2021 04:00:00.000 GMT+0700,1728.805,1728.805,1728.805,1728.805
